run_id,replication_id,condition_id,calibration_ratio,funding_intensity,market_intensity,price_impact_lambda,market_event_probability,cash_scenario,population,horizon,stress_budget,funding_budget,market_budget,market_event_loss_fraction,target_cumulative_funding,target_cumulative_market_loss,event_count,exit_rate,rmst_days,final_asset_price,asset_price_loss,mean_final_equity,mean_equity_loss,p90_equity_loss,worst_10pct_mean_equity_loss,mean_final_cash,mean_final_liabilities,mean_liability_reduction,mean_total_funding_requested,mean_total_funding_repaid,mean_total_unpaid,mean_forced_sale_proceeds,mean_market_value_loss,mean_fire_sale_value_loss
rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__finite-0001,finite-0001,rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,1,0,0,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,0,0,0,0.115290632312,1.27252935842,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__finite-0002,finite-0002,rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,1,0,0,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,0,0,0,0.109437556248,1.18402236242,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__finite-0003,finite-0003,rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,1,0,0,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,6.66133814775e-18,0,8.881784197e-17,0.110576700452,1.15914714262,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__finite-0004,finite-0004,rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,1,0,0,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,0,0,0,0.115503930288,1.22138489681,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__finite-0005,finite-0005,rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,1,0,0,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,-2.22044604925e-18,0,0,0.109078606801,1.20178810383,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__finite-0006,finite-0006,rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,1,0,0,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,4.4408920985e-18,0,6.66133814775e-17,0.109628840288,1.20041756635,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__finite-0007,finite-0007,rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,1,0,0,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,0,0,0,0.112543144596,1.20902117684,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__finite-0008,finite-0008,rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,1,0,0,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,2.22044604925e-18,0,2.22044604925e-17,0.106174358212,1.16792194867,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__finite-0009,finite-0009,rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,1,0,0,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,-2.22044604925e-18,0,0,0.111872824565,1.14124559117,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__finite-0010,finite-0010,rho_1_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,1,0,0,0.15,0.1,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,4.4408920985e-18,0,4.4408920985e-17,0.110432306214,1.24602513202,0,0,0,0,0,0,0
