run_id,replication_id,condition_id,calibration_ratio,funding_intensity,market_intensity,price_impact_lambda,market_event_probability,cash_scenario,population,horizon,stress_budget,funding_budget,market_budget,market_event_loss_fraction,target_cumulative_funding,target_cumulative_market_loss,event_count,exit_rate,rmst_days,final_asset_price,asset_price_loss,mean_final_equity,mean_equity_loss,p90_equity_loss,worst_10pct_mean_equity_loss,mean_final_cash,mean_final_liabilities,mean_liability_reduction,mean_total_funding_requested,mean_total_funding_repaid,mean_total_unpaid,mean_forced_sale_proceeds,mean_market_value_loss,mean_fire_sale_value_loss
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0001,primary-0001,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,2.22044604925e-18,0,6.66133814775e-17,0.103828479691,1.19343754174,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0002,primary-0002,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,-2.22044604925e-18,0,0,0.110957135404,1.21531762735,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0003,primary-0003,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,0,0,2.22044604925e-17,0.104899589121,1.22444140325,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0004,primary-0004,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,8.881784197e-18,0,8.881784197e-17,0.108502259943,1.24120620003,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0005,primary-0005,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,0,0,0,0.110828640356,1.1386665877,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0006,primary-0006,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,-2.22044604925e-18,0,0,0.111076612933,1.21175363169,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0007,primary-0007,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,-2.22044604925e-18,0,2.22044604925e-17,0.109846148676,1.13023178378,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0008,primary-0008,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,8.881784197e-18,0,8.881784197e-17,0.115976377662,1.22309347768,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0009,primary-0009,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,0,0,4.4408920985e-17,0.102446536121,1.171636199,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0010,primary-0010,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,-1.11022302463e-17,0,0,0.113470950923,1.24780386496,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0011,primary-0011,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,-2.22044604925e-18,0,0,0.117436468329,1.27511416891,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0012,primary-0012,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,4.4408920985e-18,0,4.4408920985e-17,0.110131152101,1.20638956064,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0013,primary-0013,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,-2.22044604925e-18,0,2.22044604925e-17,0.111070523377,1.18033870597,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0014,primary-0014,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,2.22044604925e-18,0,4.4408920985e-17,0.110044395816,1.23580880986,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0015,primary-0015,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,0,0,6.66133814775e-17,0.109713561318,1.16960690045,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0016,primary-0016,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,-1.33226762955e-17,0,2.22044604925e-17,0.107927000228,1.19660577968,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0017,primary-0017,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,-4.4408920985e-18,0,0,0.11269508121,1.19929420002,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0018,primary-0018,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,0,0,0,0.105892613773,1.18386877838,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0019,primary-0019,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,4.4408920985e-18,0,8.881784197e-17,0.11314055032,1.21685817359,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0020,primary-0020,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,2.22044604925e-18,0,4.4408920985e-17,0.116941147536,1.23128557075,0,0,0,0,0,0,0
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__primary-0021,primary-0021,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,100,30,0.15,0.05,0.1,0,0,0,0,0,30,1,0,1,-4.4408920985e-18,0,0,0.114101543669,1.24695664909,0,0,0,0,0,0,0
