run_id,replication_id,condition_id,calibration_ratio,funding_intensity,market_intensity,price_impact_lambda,market_event_probability,cash_scenario,population,horizon,stress_budget,funding_budget,market_budget,market_event_loss_fraction,target_cumulative_funding,target_cumulative_market_loss,event_count,exit_rate,rmst_days,final_asset_price,asset_price_loss,mean_final_equity,mean_equity_loss,p90_equity_loss,worst_10pct_mean_equity_loss,mean_final_cash,mean_final_liabilities,mean_liability_reduction,mean_total_funding_requested,mean_total_funding_repaid,mean_total_unpaid,mean_forced_sale_proceeds,mean_market_value_loss,mean_fire_sale_value_loss
rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline__sensitivity-0001,sensitivity-0001,rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline,1,0,0,0.15,0.05,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,-2.22044604925e-18,0,6.66133814775e-17,0.109914068191,1.26088370791,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline__sensitivity-0002,sensitivity-0002,rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline,1,0,0,0.15,0.05,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,-2.22044604925e-18,0,0,0.113299476846,1.22278549856,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline__sensitivity-0003,sensitivity-0003,rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline,1,0,0,0.15,0.05,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,6.66133814775e-18,0,6.66133814775e-17,0.103023188062,1.2029273618,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline__sensitivity-0004,sensitivity-0004,rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline,1,0,0,0.15,0.05,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,-4.4408920985e-18,0,0,0.113762886733,1.21829259393,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline__sensitivity-0005,sensitivity-0005,rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline,1,0,0,0.15,0.05,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,4.4408920985e-18,0,4.4408920985e-17,0.106177923481,1.13294135694,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline__sensitivity-0006,sensitivity-0006,rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline,1,0,0,0.15,0.05,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,4.4408920985e-18,0,4.4408920985e-17,0.110411474035,1.21768778241,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline__sensitivity-0007,sensitivity-0007,rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline,1,0,0,0.15,0.05,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,0,0,4.4408920985e-17,0.110376306401,1.23533095257,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline__sensitivity-0008,sensitivity-0008,rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline,1,0,0,0.15,0.05,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,-2.22044604925e-18,0,2.22044604925e-17,0.105174216943,1.17312906144,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline__sensitivity-0009,sensitivity-0009,rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline,1,0,0,0.15,0.05,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,4.4408920985e-18,0,4.4408920985e-17,0.101289212582,1.20048287849,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline__sensitivity-0010,sensitivity-0010,rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline,1,0,0,0.15,0.05,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,0,0,0,0.116290541898,1.21698200726,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline__sensitivity-0011,sensitivity-0011,rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline,1,0,0,0.15,0.05,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,2.22044604925e-18,0,2.22044604925e-17,0.116259563257,1.15200930403,0,0,0,0,0,0,0
rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline__sensitivity-0012,sensitivity-0012,rho_1_fund_0_market_0_lambda_0p15_p_0p05_cash_baseline,1,0,0,0.15,0.05,baseline,100,30,0.15,0.075,0.075,0,0,0,0,0,30,1,0,1,-4.4408920985e-18,0,0,0.110192466948,1.27701340343,0,0,0,0,0,0,0
