run_id,replication_id,condition_id,calibration_ratio,funding_intensity,market_intensity,price_impact_lambda,market_event_probability,cash_scenario,day,at_risk_start,at_risk_end,exit_count,funding_exit_count,insolvency_exit_count,joint_exit_count,market_event,market_loss_fraction,price_impact_loss,forced_sale_fraction,asset_price,preimpact_forced_sale_value,forced_sale_proceeds,total_funding_requested,total_funding_repaid,total_unpaid,total_liabilities,mean_active_equity,mean_active_cash
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,1,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,2,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,3,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,4,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,5,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,1,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.3584685751,1,0.125973117689
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,2,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.3584685751,1,0.125973117689
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,3,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.3584685751,1,0.125973117689
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,4,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.3584685751,1,0.125973117689
rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline__smoke-0002,smoke-0002,rho_0p5_fund_0_market_0_lambda_0_p_0p1_cash_baseline,0.5,0,0,0,0.1,baseline,5,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.3584685751,1,0.125973117689
rho_0p5_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,0.5,0,0,0.15,0.1,baseline,1,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,0.5,0,0,0.15,0.1,baseline,2,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,0.5,0,0,0.15,0.1,baseline,3,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,0.5,0,0,0.15,0.1,baseline,4,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
rho_0p5_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline__smoke-0001,smoke-0001,rho_0p5_fund_0_market_0_lambda_0p15_p_0p1_cash_baseline,0.5,0,0,0.15,0.1,baseline,5,10,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.375552811,1,0.133909443481
