run_id,replication_id,condition_id,population_design,calibration_ratio,liquidity_intensity,market_intensity,agent_id,event,exit_day,survival_time,exit_reason,initial_equity,initial_leverage,initial_cash_share,initial_cash,initial_risky_value,initial_liabilities,final_cash,final_risky_value,final_liabilities,final_equity,total_payment,total_unpaid,total_forced_sale_proceeds
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,0,0,0,5,censored,1,1.87430431461,0.280353659477,0.525468073576,1.34883624104,0.874304314614,0.525468073576,1.34883624104,0.874304314614,1,0,0,0
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,1,0,0,5,censored,1,1.67910925847,0.317429909165,0.532999499393,1.14610975907,0.679109258466,0.532999499393,1.14610975907,0.679109258466,1,0,0,0
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,2,0,0,5,censored,1,2.15658687748,0.232782364605,0.502015392817,1.65457148466,1.15658687748,0.502015392817,1.65457148466,1.15658687748,1,0,0,0
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,3,0,0,5,censored,1,2.09146472509,0.294993804558,0.616969136353,1.47449558874,1.09146472509,0.616969136353,1.47449558874,1.09146472509,1,0,0,0
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,4,0,0,5,censored,1,1.85041529599,0.232170267289,0.429611413866,1.42080388213,0.850415295993,0.429611413866,1.42080388213,0.850415295993,1,0,0,0
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,5,0,0,5,censored,1,1.95311636631,0.235952184649,0.460842073505,1.49227429281,0.953116366314,0.460842073505,1.49227429281,0.953116366314,1,0,0,0
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,6,0,0,5,censored,1,1.7847271274,0.379875395966,0.67797392421,1.10675320319,0.784727127396,0.67797392421,1.10675320319,0.784727127396,1,0,0,0
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,7,0,0,5,censored,1,1.64905409888,0.206365311911,0.340307563474,1.30874653541,0.649054098881,0.340307563474,1.30874653541,0.649054098881,1,0,0,0
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,8,0,0,5,censored,1,1.61958822149,0.395124740654,0.639939375984,0.979648845511,0.619588221495,0.639939375984,0.979648845511,0.619588221495,1,0,0,0
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,9,0,0,5,censored,1,2.24679564831,0.244380309099,0.549072615016,1.69772303329,1.24679564831,0.549072615016,1.69772303329,1.24679564831,1,0,0,0
