run_id,replication_id,condition_id,population_design,calibration_ratio,liquidity_intensity,market_intensity,day,at_risk_start,at_risk_end,exit_count,liquidity_exit_count,insolvency_exit_count,joint_exit_count,market_event,market_loss_fraction,price_impact_loss,asset_price,preimpact_forced_sale_value,forced_sale_proceeds,total_obligation,total_unpaid,mean_active_equity,mean_active_cash
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,1,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,2,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,3,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,4,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,5,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,1,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.592532891338
rho_0p5_liq_0_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,2,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.592532891338
rho_0p5_liq_0_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,3,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.592532891338
rho_0p5_liq_0_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,4,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.592532891338
rho_0p5_liq_0_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_0_heterogeneous,heterogeneous,0.5,0,0,5,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.592532891338
rho_0p5_liq_0_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_1_heterogeneous,heterogeneous,0.5,0,1,1,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_1_heterogeneous,heterogeneous,0.5,0,1,2,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_1_heterogeneous,heterogeneous,0.5,0,1,3,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_1_heterogeneous,heterogeneous,0.5,0,1,4,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_1_heterogeneous,heterogeneous,0.5,0,1,5,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_1_heterogeneous,heterogeneous,0.5,0,1,1,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.592532891338
rho_0p5_liq_0_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_1_heterogeneous,heterogeneous,0.5,0,1,2,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.592532891338
rho_0p5_liq_0_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_1_heterogeneous,heterogeneous,0.5,0,1,3,10,10,0,0,0,0,1,0.142857142857,0,0.857142857143,0,0,0,0,0.803250341231,0.592532891338
rho_0p5_liq_0_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_1_heterogeneous,heterogeneous,0.5,0,1,4,10,10,0,0,0,0,0,0,0,0.857142857143,0,0,0,0,0.803250341231,0.592532891338
rho_0p5_liq_0_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_1_heterogeneous,heterogeneous,0.5,0,1,5,10,10,0,0,0,0,0,0,0,0.857142857143,0,0,0,0,0.803250341231,0.592532891338
rho_0p5_liq_0_market_2_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_2_heterogeneous,heterogeneous,0.5,0,2,1,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_2_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_2_heterogeneous,heterogeneous,0.5,0,2,2,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_2_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_2_heterogeneous,heterogeneous,0.5,0,2,3,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_2_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_2_heterogeneous,heterogeneous,0.5,0,2,4,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_2_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_0_market_2_heterogeneous,heterogeneous,0.5,0,2,5,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.527519906819
rho_0p5_liq_0_market_2_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_2_heterogeneous,heterogeneous,0.5,0,2,1,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.592532891338
rho_0p5_liq_0_market_2_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_2_heterogeneous,heterogeneous,0.5,0,2,2,10,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0.592532891338
rho_0p5_liq_0_market_2_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_2_heterogeneous,heterogeneous,0.5,0,2,3,10,10,0,0,0,0,1,0.285714285714,0,0.714285714286,0,0,0,0,0.606500682462,0.592532891338
rho_0p5_liq_0_market_2_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_2_heterogeneous,heterogeneous,0.5,0,2,4,10,10,0,0,0,0,0,0,0,0.714285714286,0,0,0,0,0.606500682462,0.592532891338
rho_0p5_liq_0_market_2_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_0_market_2_heterogeneous,heterogeneous,0.5,0,2,5,10,10,0,0,0,0,0,0,0,0.714285714286,0,0,0,0,0.606500682462,0.592532891338
rho_0p5_liq_1_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_0_heterogeneous,heterogeneous,0.5,1,0,1,10,10,0,0,0,0,0,0,0,1,0,0,0.114858724581,0,0.988514127542,0.516034034361
rho_0p5_liq_1_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_0_heterogeneous,heterogeneous,0.5,1,0,2,10,10,0,0,0,0,0,0,0,1,0,0,0.102797911667,0,0.978234336375,0.505754243195
rho_0p5_liq_1_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_0_heterogeneous,heterogeneous,0.5,1,0,3,10,10,0,0,0,0,0,0,0,1,0,0,0.114843809207,0,0.966749955455,0.494269862274
rho_0p5_liq_1_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_0_heterogeneous,heterogeneous,0.5,1,0,4,10,10,0,0,0,0,0,0,0,1,0,0,0.1047649811,0,0.956273457345,0.483793364164
rho_0p5_liq_1_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_0_heterogeneous,heterogeneous,0.5,1,0,5,10,10,0,0,0,0,0,0,0,1,0,0,0.103428019923,0,0.945930655352,0.473450562172
rho_0p5_liq_1_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_0_heterogeneous,heterogeneous,0.5,1,0,1,10,10,0,0,0,0,0,0,0,1,0,0,0.110613143321,0,0.988938685668,0.581471577006
rho_0p5_liq_1_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_0_heterogeneous,heterogeneous,0.5,1,0,2,10,10,0,0,0,0,0,0,0,1,0,0,0.11237544009,0,0.977701141659,0.570234032997
rho_0p5_liq_1_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_0_heterogeneous,heterogeneous,0.5,1,0,3,10,10,0,0,0,0,0,0,0,1,0,0,0.100834007626,0,0.967617740896,0.560150632234
rho_0p5_liq_1_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_0_heterogeneous,heterogeneous,0.5,1,0,4,10,10,0,0,0,0,0,0,0,1,0,0,0.107497440799,0,0.956867996816,0.549400888154
rho_0p5_liq_1_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_0_heterogeneous,heterogeneous,0.5,1,0,5,10,10,0,0,0,0,0,0,0,1,0,0,0.101454730796,0,0.946722523737,0.539255415075
rho_0p5_liq_1_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_1_heterogeneous,heterogeneous,0.5,1,1,1,10,10,0,0,0,0,0,0,0,1,0,0,0.114858724581,0,0.988514127542,0.516034034361
rho_0p5_liq_1_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_1_heterogeneous,heterogeneous,0.5,1,1,2,10,10,0,0,0,0,0,0,0,1,0,0,0.102797911667,0,0.978234336375,0.505754243195
rho_0p5_liq_1_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_1_heterogeneous,heterogeneous,0.5,1,1,3,10,10,0,0,0,0,0,0,0,1,0,0,0.114843809207,0,0.966749955455,0.494269862274
rho_0p5_liq_1_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_1_heterogeneous,heterogeneous,0.5,1,1,4,10,10,0,0,0,0,0,0,0,1,0,0,0.1047649811,0,0.956273457345,0.483793364164
rho_0p5_liq_1_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_1_heterogeneous,heterogeneous,0.5,1,1,5,10,10,0,0,0,0,0,0,0,1,0,0,0.103428019923,0,0.945930655352,0.473450562172
rho_0p5_liq_1_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_1_heterogeneous,heterogeneous,0.5,1,1,1,10,10,0,0,0,0,0,0,0,1,0,0,0.110613143321,0,0.988938685668,0.581471577006
rho_0p5_liq_1_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_1_heterogeneous,heterogeneous,0.5,1,1,2,10,10,0,0,0,0,0,0,0,1,0,0,0.11237544009,0,0.977701141659,0.570234032997
rho_0p5_liq_1_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_1_heterogeneous,heterogeneous,0.5,1,1,3,10,10,0,0,0,0,1,0.142857142857,0,0.857142857143,0,0,0.100834007626,0,0.770868082127,0.560150632234
rho_0p5_liq_1_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_1_heterogeneous,heterogeneous,0.5,1,1,4,10,10,0,0,0,0,0,0,0,0.857142857143,0,0,0.107497440799,0,0.760118338047,0.549400888154
rho_0p5_liq_1_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_1_heterogeneous,heterogeneous,0.5,1,1,5,10,10,0,0,0,0,0,0,0,0.857142857143,0,0,0.101454730796,0,0.749972864968,0.539255415075
rho_0p5_liq_1_market_2_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_2_heterogeneous,heterogeneous,0.5,1,2,1,10,10,0,0,0,0,0,0,0,1,0,0,0.114858724581,0,0.988514127542,0.516034034361
rho_0p5_liq_1_market_2_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_2_heterogeneous,heterogeneous,0.5,1,2,2,10,10,0,0,0,0,0,0,0,1,0,0,0.102797911667,0,0.978234336375,0.505754243195
rho_0p5_liq_1_market_2_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_2_heterogeneous,heterogeneous,0.5,1,2,3,10,10,0,0,0,0,0,0,0,1,0,0,0.114843809207,0,0.966749955455,0.494269862274
rho_0p5_liq_1_market_2_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_2_heterogeneous,heterogeneous,0.5,1,2,4,10,10,0,0,0,0,0,0,0,1,0,0,0.1047649811,0,0.956273457345,0.483793364164
rho_0p5_liq_1_market_2_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_1_market_2_heterogeneous,heterogeneous,0.5,1,2,5,10,10,0,0,0,0,0,0,0,1,0,0,0.103428019923,0,0.945930655352,0.473450562172
rho_0p5_liq_1_market_2_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_2_heterogeneous,heterogeneous,0.5,1,2,1,10,10,0,0,0,0,0,0,0,1,0,0,0.110613143321,0,0.988938685668,0.581471577006
rho_0p5_liq_1_market_2_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_2_heterogeneous,heterogeneous,0.5,1,2,2,10,10,0,0,0,0,0,0,0,1,0,0,0.11237544009,0,0.977701141659,0.570234032997
rho_0p5_liq_1_market_2_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_2_heterogeneous,heterogeneous,0.5,1,2,3,10,10,0,0,0,0,1,0.285714285714,0,0.714285714286,0,0,0.100834007626,0,0.574118423358,0.560150632234
rho_0p5_liq_1_market_2_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_2_heterogeneous,heterogeneous,0.5,1,2,4,10,10,0,0,0,0,0,0,0,0.714285714286,0,0,0.107497440799,0,0.563368679278,0.549400888154
rho_0p5_liq_1_market_2_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_1_market_2_heterogeneous,heterogeneous,0.5,1,2,5,10,10,0,0,0,0,0,0,0,0.714285714286,0,0,0.101454730796,0,0.553223206199,0.539255415075
rho_0p5_liq_2_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_2_market_0_heterogeneous,heterogeneous,0.5,2,0,1,10,10,0,0,0,0,0,0,0,1,0,0,0.229717449162,0,0.977028255084,0.504548161903
rho_0p5_liq_2_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_2_market_0_heterogeneous,heterogeneous,0.5,2,0,2,10,10,0,0,0,0,0,0,0,1,0,0,0.205595823334,0,0.95646867275,0.48398857957
rho_0p5_liq_2_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_2_market_0_heterogeneous,heterogeneous,0.5,2,0,3,10,10,0,0,0,0,0,0,0,1,0,0,0.229687618414,0,0.933499910909,0.461019817728
rho_0p5_liq_2_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_2_market_0_heterogeneous,heterogeneous,0.5,2,0,4,10,10,0,0,0,0,0,0,0,1,0,0,0.209529962199,0,0.912546914689,0.440066821508
rho_0p5_liq_2_market_0_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_2_market_0_heterogeneous,heterogeneous,0.5,2,0,5,10,10,0,0,0,0,0,0,0,1,0,0,0.206856039846,0,0.891861310705,0.419381217524
rho_0p5_liq_2_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_2_market_0_heterogeneous,heterogeneous,0.5,2,0,1,10,10,0,0,0,0,0,0,0,1,0,0,0.221226286643,0,0.977877371336,0.570410262673
rho_0p5_liq_2_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_2_market_0_heterogeneous,heterogeneous,0.5,2,0,2,10,10,0,0,0,0,0,0,0,1,0,0,0.22475088018,0,0.955402283318,0.547935174655
rho_0p5_liq_2_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_2_market_0_heterogeneous,heterogeneous,0.5,2,0,3,10,10,0,0,0,0,0,0,0,1,0,0,0.201668015253,0,0.935235481792,0.52776837313
rho_0p5_liq_2_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_2_market_0_heterogeneous,heterogeneous,0.5,2,0,4,10,10,0,0,0,0,0,0,0,1,0,0,0.214994881597,0,0.913735993633,0.50626888497
rho_0p5_liq_2_market_0_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_2_market_0_heterogeneous,heterogeneous,0.5,2,0,5,10,10,0,0,0,0,0,0,0,1,0,0,0.202909461592,0,0.893445047474,0.485977938811
rho_0p5_liq_2_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_2_market_1_heterogeneous,heterogeneous,0.5,2,1,1,10,10,0,0,0,0,0,0,0,1,0,0,0.229717449162,0,0.977028255084,0.504548161903
rho_0p5_liq_2_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_2_market_1_heterogeneous,heterogeneous,0.5,2,1,2,10,10,0,0,0,0,0,0,0,1,0,0,0.205595823334,0,0.95646867275,0.48398857957
rho_0p5_liq_2_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_2_market_1_heterogeneous,heterogeneous,0.5,2,1,3,10,10,0,0,0,0,0,0,0,1,0,0,0.229687618414,0,0.933499910909,0.461019817728
rho_0p5_liq_2_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_2_market_1_heterogeneous,heterogeneous,0.5,2,1,4,10,10,0,0,0,0,0,0,0,1,0,0,0.209529962199,0,0.912546914689,0.440066821508
rho_0p5_liq_2_market_1_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_2_market_1_heterogeneous,heterogeneous,0.5,2,1,5,10,10,0,0,0,0,0,0,0,1,0,0,0.206856039846,0,0.891861310705,0.419381217524
rho_0p5_liq_2_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_2_market_1_heterogeneous,heterogeneous,0.5,2,1,1,10,10,0,0,0,0,0,0,0,1,0,0,0.221226286643,0,0.977877371336,0.570410262673
rho_0p5_liq_2_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_2_market_1_heterogeneous,heterogeneous,0.5,2,1,2,10,10,0,0,0,0,0,0,0,1,0,0,0.22475088018,0,0.955402283318,0.547935174655
rho_0p5_liq_2_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_2_market_1_heterogeneous,heterogeneous,0.5,2,1,3,10,10,0,0,0,0,1,0.142857142857,0,0.857142857143,0,0,0.201668015253,0,0.738485823023,0.52776837313
rho_0p5_liq_2_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_2_market_1_heterogeneous,heterogeneous,0.5,2,1,4,10,10,0,0,0,0,0,0,0,0.857142857143,0,0,0.214994881597,0,0.716986334864,0.50626888497
rho_0p5_liq_2_market_1_heterogeneous__smoke-0002,smoke-0002,rho_0p5_liq_2_market_1_heterogeneous,heterogeneous,0.5,2,1,5,10,10,0,0,0,0,0,0,0,0.857142857143,0,0,0.202909461592,0,0.696695388704,0.485977938811
rho_0p5_liq_2_market_2_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_2_market_2_heterogeneous,heterogeneous,0.5,2,2,1,10,10,0,0,0,0,0,0,0,1,0,0,0.229717449162,0,0.977028255084,0.504548161903
rho_0p5_liq_2_market_2_heterogeneous__smoke-0001,smoke-0001,rho_0p5_liq_2_market_2_heterogeneous,heterogeneous,0.5,2,2,2,10,10,0,0,0,0,0,0,0,1,0,0,0.205595823334,0,0.95646867275,0.48398857957
