outcome,family,estimand_id,calibration_ratio,price_impact_lambda,transition,conditioning_intensity,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
mean_equity_loss,axis_liquidity_minus_market,axis_funding_minus_market_0_to_1,0.5,0,0_to_1,,,,200,-0.0964315930776,0.00348418684241,-0.103190573699,-0.0897515852395,-0.103262395946,-0.0896007902088
mean_equity_loss,axis_liquidity_minus_market,axis_funding_minus_market_1_to_2,0.5,0,1_to_2,,,,200,-0.0964686822503,0.00332430670808,-0.102795490867,-0.0900313287614,-0.102986037612,-0.0899513268886
mean_equity_loss,axis_liquidity_minus_market,axis_funding_minus_market_0_to_1,0.5,0.15,0_to_1,,,,200,-0.0963546401623,0.00348444132067,-0.103111679021,-0.0896754219587,-0.10318594194,-0.0895233383848
mean_equity_loss,axis_liquidity_minus_market,axis_funding_minus_market_1_to_2,0.5,0.15,1_to_2,,,,200,-0.0945450793523,0.00332498067041,-0.100892578648,-0.0881072202724,-0.101063756028,-0.0880264026769
mean_equity_loss,axis_liquidity_minus_market,axis_funding_minus_market_0_to_1,1,0,0_to_1,,,,200,-0.0723202258646,0.00262800072202,-0.0774367216444,-0.0672773659378,-0.0774724624361,-0.0671679892931
mean_equity_loss,axis_liquidity_minus_market,axis_funding_minus_market_1_to_2,1,0,1_to_2,,,,200,-0.0723410555619,0.00253874215186,-0.0771878192546,-0.0674486573018,-0.0773182993088,-0.0673638118151
mean_equity_loss,axis_liquidity_minus_market,axis_funding_minus_market_0_to_1,1,0.15,0_to_1,,,,200,-0.0716411289924,0.00262885323721,-0.0767540870653,-0.0665938224853,-0.0767950369333,-0.0664872210516
mean_equity_loss,axis_liquidity_minus_market,axis_funding_minus_market_1_to_2,1,0.15,1_to_2,,,,200,-0.0662397828241,0.00254017633327,-0.0711138281762,-0.0613799237185,-0.071219838306,-0.0612597273421
mean_equity_loss,axis_liquidity_minus_market,axis_funding_minus_market_0_to_1,2,0,0_to_1,,,,200,-0.0482111723438,0.00176184653068,-0.051652289812,-0.044820103208,-0.0516653000587,-0.0447570446289
mean_equity_loss,axis_liquidity_minus_market,axis_funding_minus_market_1_to_2,2,0,1_to_2,,,,200,-0.0482204207338,0.00172247265394,-0.0515310950666,-0.0448970297695,-0.0515973553467,-0.0448434861209
mean_equity_loss,axis_liquidity_minus_market,axis_funding_minus_market_0_to_1,2,0.15,0_to_1,,,,200,-0.0462106165305,0.00176281835889,-0.049626270379,-0.0428251061859,-0.0496666495298,-0.0427545835312
mean_equity_loss,axis_liquidity_minus_market,axis_funding_minus_market_1_to_2,2,0.15,1_to_2,,,,200,-0.0367127627294,0.00172449057337,-0.0400256747947,-0.0334161898383,-0.040093653505,-0.0333318719539
mean_equity_loss,channel_interaction,interaction_funding_1_market_1,0.5,0,,,1,1,200,-2.1046560985e-06,2.24578730549e-07,-2.56839559991e-06,-1.69409411238e-06,-2.59777491308e-06,-1.61153728392e-06
