sensitivity,outcome,scenario,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
stress_budget,mean_equity_loss,0.1,0,0,100,-1.77635683941e-19,4.94191279e-19,-1.15463194561e-18,7.77156117237e-19,-1.40774225752e-18,1.05247088964e-18
stress_budget,mean_equity_loss,0.1,0,1,100,0.0425197493829,0.00275343275501,0.0370770728687,0.0478392747595,0.0356660959985,0.0493734027672
stress_budget,mean_equity_loss,0.1,0,2,100,0.085086961269,0.005457909739,0.0742741684254,0.0956619893841,0.0715015118019,0.0986724107362
stress_budget,mean_equity_loss,0.1,1,0,100,7.85725595161e-05,3.7501708439e-06,7.13342087637e-05,8.60926038038e-05,6.9237894978e-05,8.79072240542e-05
stress_budget,mean_equity_loss,0.1,1,1,100,0.0425973427928,0.00275332221814,0.0371539336259,0.0479173961491,0.0357439645491,0.0494507210364
stress_budget,mean_equity_loss,0.1,1,2,100,0.0851635550172,0.00545773738399,0.0743502976585,0.0957390617423,0.0715785345642,0.0987485754702
stress_budget,mean_equity_loss,0.1,2,0,100,0.00207285765622,3.38165461409e-05,0.00200873551897,0.0021424205033,0.00198868386063,0.00215703145182
stress_budget,mean_equity_loss,0.1,2,1,100,0.0445366597843,0.00275011975708,0.0391083053149,0.0498611526817,0.037691252884,0.0513820666845
stress_budget,mean_equity_loss,0.1,2,2,100,0.0870469323656,0.00545033077471,0.0762315161726,0.0976130078349,0.0734803479295,0.100613516802
stress_budget,mean_equity_loss,0.15,0,0,100,-1.77635683941e-19,4.94191279e-19,-1.15463194561e-18,7.77156117237e-19,-1.40774225752e-18,1.05247088964e-18
stress_budget,mean_equity_loss,0.15,0,1,100,0.0637973086434,0.00411183079387,0.0556607630909,0.0717529005022,0.0535624253018,0.0740321919849
stress_budget,mean_equity_loss,0.15,0,2,100,0.127703501517,0.00811278001315,0.111570721492,0.143467750512,0.10750973354,0.147897269494
stress_budget,mean_equity_loss,0.15,1,0,100,0.000698372266023,1.64488367956e-05,0.000667463933207,0.000730190122973,0.000657428965059,0.000739315566987
stress_budget,mean_equity_loss,0.15,1,1,100,0.0644729887352,0.00411066596689,0.0563386966955,0.072419655108,0.0542410048,0.0747049726705
stress_budget,mean_equity_loss,0.15,1,2,100,0.128355825636,0.00810985790144,0.112232398732,0.144104110294,0.108169331177,0.148542320095
stress_budget,mean_equity_loss,0.15,2,0,100,0.00692084343772,6.2070615745e-05,0.00680005738756,0.00704315704377,0.0067663415764,0.00707534529905
stress_budget,mean_equity_loss,0.15,2,1,100,0.0703692266821,0.00408881628704,0.0622541490376,0.0783244954706,0.0601916294508,0.0805468239133
stress_budget,mean_equity_loss,0.15,2,2,100,0.133917763236,0.00806463214679,0.117905195728,0.149531868062,0.113843841581,0.153991684891
stress_budget,mean_equity_loss,0.3,0,0,100,-1.77635683941e-19,4.94191279e-19,-1.15463194561e-18,7.77156117237e-19,-1.40774225752e-18,1.05247088964e-18
stress_budget,mean_equity_loss,0.3,0,1,100,0.127703501517,0.00811278001315,0.111570721492,0.143467750512,0.10750973354,0.147897269494
stress_budget,mean_equity_loss,0.3,0,2,100,0.255869656723,0.0157728256424,0.224732098492,0.286184941642,0.216609035722,0.295130277724
stress_budget,mean_equity_loss,0.3,1,0,100,0.00692084343772,6.2070615745e-05,0.00680005738756,0.00704315704377,0.0067663415764,0.00707534529905
stress_budget,mean_equity_loss,0.3,1,1,100,0.133917763236,0.00806463214679,0.117905195728,0.149531868062,0.113843841581,0.153991684891
stress_budget,mean_equity_loss,0.3,1,2,100,0.261340108241,0.0156736495737,0.230368121404,0.291561659024,0.222326349415,0.300353867066
stress_budget,mean_equity_loss,0.3,2,0,100,0.0285194655277,9.68229329498e-05,0.0283319836587,0.0287079078986,0.0282784606145,0.0287604704409
stress_budget,mean_equity_loss,0.3,2,1,100,0.152165579536,0.0078412858169,0.136661754963,0.167416860454,0.132647596037,0.171683563035
stress_budget,mean_equity_loss,0.3,2,2,100,0.276088611886,0.0152263637058,0.246136924304,0.305624819599,0.238188205946,0.313989017827
stress_budget,worst_10pct_mean_equity_loss,0.1,0,0,100,2.93098878501e-17,3.34261605505e-18,2.28705943073e-17,3.64153152077e-17,2.10398044075e-17,3.75799712928e-17
stress_budget,worst_10pct_mean_equity_loss,0.1,0,1,100,0.053055402023,0.00342640136375,0.0466645234419,0.0601083826941,0.0445780224139,0.0615327816322
stress_budget,worst_10pct_mean_equity_loss,0.1,0,2,100,0.10616826149,0.00679067299097,0.0934456460775,0.120201903212,0.0893672196292,0.122969303352
stress_budget,worst_10pct_mean_equity_loss,0.1,1,0,100,9.81570055308e-05,5.01684506003e-06,8.82563082932e-05,0.00010778868565,8.57446534742e-05,0.000110569357587
stress_budget,worst_10pct_mean_equity_loss,0.1,1,1,100,0.0531533316619,0.00342619259612,0.0467600850863,0.0602045221065,0.0446764685721,0.0616301947518
stress_budget,worst_10pct_mean_equity_loss,0.1,1,2,100,0.10626595886,0.00679044934351,0.0935410587072,0.120303309852,0.0894654703327,0.123066447387
stress_budget,worst_10pct_mean_equity_loss,0.1,2,0,100,0.00259305214753,4.45633235662e-05,0.00250462979756,0.00268105229346,0.00248279646805,0.002703307827
stress_budget,worst_10pct_mean_equity_loss,0.1,2,1,100,0.0556118565831,0.00342312388631,0.0492161270414,0.062636871205,0.0471425858957,0.0640811272705
stress_budget,worst_10pct_mean_equity_loss,0.1,2,2,100,0.108687539174,0.0067841646379,0.0959593624826,0.12267898777,0.0919025998567,0.125472478491
stress_budget,worst_10pct_mean_equity_loss,0.15,0,0,100,2.93098878501e-17,3.34261605505e-18,2.28705943073e-17,3.64153152077e-17,2.10398044075e-17,3.75799712928e-17
stress_budget,worst_10pct_mean_equity_loss,0.15,0,1,100,0.0796045087285,0.00511635103932,0.0700401648074,0.0901608309668,0.0669459654438,0.0922630520132
stress_budget,worst_10pct_mean_equity_loss,0.15,0,2,100,0.159340886748,0.010092042121,0.140353381754,0.180040657765,0.134371811906,0.184309961591
stress_budget,worst_10pct_mean_equity_loss,0.15,1,0,100,0.00087286590561,2.16805862164e-05,0.000829966196103,0.000915875282052,0.000819225207983,0.000926506603238
stress_budget,worst_10pct_mean_equity_loss,0.15,1,1,100,0.0804670425781,0.00511541282332,0.070894765734,0.0910007883335,0.0678108205664,0.0931232645898
stress_budget,worst_10pct_mean_equity_loss,0.15,1,2,100,0.160192785803,0.0100900660814,0.141225946103,0.180906063276,0.135228599949,0.185156971656
stress_budget,worst_10pct_mean_equity_loss,0.15,2,0,100,0.0086780302152,8.43583919193e-05,0.00850960177151,0.00884648143761,0.00846931616346,0.00888674426694
stress_budget,worst_10pct_mean_equity_loss,0.15,2,1,100,0.0879921393313,0.00509518547187,0.0784889768665,0.0984638458277,0.0753859625183,0.100598316144
stress_budget,worst_10pct_mean_equity_loss,0.15,2,2,100,0.167432419554,0.0100489848898,0.148568418588,0.188032193959,0.142569874115,0.192294964992
stress_budget,worst_10pct_mean_equity_loss,0.3,0,0,100,2.93098878501e-17,3.34261605505e-18,2.28705943073e-17,3.64153152077e-17,2.10398044075e-17,3.75799712928e-17
stress_budget,worst_10pct_mean_equity_loss,0.3,0,1,100,0.159340886748,0.010092042121,0.140353381754,0.180040657765,0.134371811906,0.184309961591
stress_budget,worst_10pct_mean_equity_loss,0.3,0,2,100,0.319242816996,0.0196105614453,0.282270706563,0.358811572105,0.270723640148,0.367761993844
stress_budget,worst_10pct_mean_equity_loss,0.3,1,0,100,0.0086780302152,8.43583919193e-05,0.00850960177151,0.00884648143761,0.00846931616346,0.00888674426694
stress_budget,worst_10pct_mean_equity_loss,0.3,1,1,100,0.167432419554,0.0100489848898,0.148568418588,0.188032193959,0.142569874115,0.192294964992
stress_budget,worst_10pct_mean_equity_loss,0.3,1,2,100,0.326719319591,0.0195233044932,0.28991723005,0.366262133774,0.278416028224,0.375022610958
stress_budget,worst_10pct_mean_equity_loss,0.3,2,0,100,0.0361590149846,0.0001532248421,0.0358552095344,0.0364592108013,0.0357799160367,0.0365381139325
stress_budget,worst_10pct_mean_equity_loss,0.3,2,1,100,0.19190599317,0.00985179512562,0.173425186802,0.212032248971,0.167531321833,0.216280664508
stress_budget,worst_10pct_mean_equity_loss,0.3,2,2,100,0.34807401465,0.0191270877056,0.31213528775,0.386799198219,0.300751017113,0.395397012187
stress_budget,asset_price_loss,0.1,0,0,100,0,0,0,0,0,0
stress_budget,asset_price_loss,0.1,0,1,100,0.0203622409289,0.00132375449475,0.0177655432008,0.0228792279329,0.0169916089938,0.023732872864
stress_budget,asset_price_loss,0.1,0,2,100,0.0407464742896,0.00262376520603,0.0356023970731,0.0457258584591,0.0340656684236,0.0474272801556
stress_budget,asset_price_loss,0.1,1,0,100,3.76672526102e-05,1.8966870559e-06,3.38359768817e-05,4.15112390653e-05,3.28377815966e-05,4.24967236238e-05
stress_budget,asset_price_loss,0.1,1,1,100,0.0203998470669,0.00132377580097,0.017804444172,0.0229145658918,0.0170291608805,0.0237705332533
stress_budget,asset_price_loss,0.1,1,2,100,0.0407840180353,0.00262378309217,0.0356396591252,0.0457622129176,0.0341031666265,0.0474648694442
stress_budget,asset_price_loss,0.1,2,0,100,0.000996774924789,1.68064702595e-05,0.000963630180695,0.00102955346461,0.000953981169907,0.00103956867967
stress_budget,asset_price_loss,0.1,2,1,100,0.0213555615307,0.00132449667598,0.0187440715234,0.0238479920569,0.0179830398042,0.0247280832571
stress_budget,asset_price_loss,0.1,2,2,100,0.0417362810274,0.00262416557779,0.0365852898928,0.0466923107844,0.0350544557081,0.0484181063466
stress_budget,asset_price_loss,0.15,0,0,100,0,0,0,0,0,0
stress_budget,asset_price_loss,0.15,0,1,100,0.0305515544985,0.00197674692893,0.0266749399855,0.0343066288215,0.0255182296995,0.0355848792975
stress_budget,asset_price_loss,0.15,0,2,100,0.061153586001,0.00389972167071,0.0535124596796,0.0685397199065,0.0512238547303,0.0710833172718
stress_budget,asset_price_loss,0.15,1,0,100,0.000335089225648,8.22431771921e-06,0.000318689520871,0.00035069059797,0.000314147919644,0.000356030531652
stress_budget,asset_price_loss,0.15,1,1,100,0.0308852331873,0.00197720877217,0.0270047092362,0.0346303312605,0.0258507324123,0.0359197339624
stress_budget,asset_price_loss,0.15,1,2,100,0.0614858133962,0.00390005061112,0.0538515039521,0.0688676296498,0.0515552445555,0.0714163822369
stress_budget,asset_price_loss,0.15,2,0,100,0.00335271389164,3.16873567803e-05,0.00329066836907,0.00341517346439,0.00327202943154,0.00343339835173
stress_budget,asset_price_loss,0.15,2,1,100,0.0338831139639,0.00197713652865,0.0299987473399,0.0375989719829,0.0288487971401,0.0389174307877
stress_budget,asset_price_loss,0.15,2,2,100,0.064463503313,0.00389833567542,0.0568261373705,0.0718145118037,0.0545373011559,0.0743897054701
stress_budget,asset_price_loss,0.3,0,0,100,0,0,0,0,0,0
stress_budget,asset_price_loss,0.3,0,1,100,0.061153586001,0.00389972167071,0.0535124596796,0.0685397199065,0.0512238547303,0.0710833172718
stress_budget,asset_price_loss,0.3,0,2,100,0.122521961733,0.0075799558836,0.107545326204,0.136829206408,0.103221372788,0.141822550679
stress_budget,asset_price_loss,0.3,1,0,100,0.00335271389164,3.16873567803e-05,0.00329066836907,0.00341517346439,0.00327202943154,0.00343339835173
stress_budget,asset_price_loss,0.3,1,1,100,0.064463503313,0.00389833567542,0.0568261373705,0.0718145118037,0.0545373011559,0.0743897054701
stress_budget,asset_price_loss,0.3,1,2,100,0.125787022125,0.00757513474708,0.110836959227,0.14007790265,0.106498709079,0.145075335171
stress_budget,asset_price_loss,0.3,2,0,100,0.0143038860442,6.06850596262e-05,0.0141865173979,0.0144269222732,0.0141493657001,0.0144584063882
stress_budget,asset_price_loss,0.3,2,1,100,0.0752231118875,0.00388428933801,0.0676092461748,0.0825292540758,0.065332675451,0.085113548324
stress_budget,asset_price_loss,0.3,2,2,100,0.136349519395,0.00754756772148,0.121452115481,0.150590087279,0.117131399347,0.155567639443
stress_budget,market_value_loss,0.1,0,0,100,0,0,0,0,0,0
stress_budget,market_value_loss,0.1,0,1,100,0.0425197493829,0.00278098223767,0.0370223437965,0.0480590771757,0.036919783464,0.0481197153018
stress_budget,market_value_loss,0.1,0,2,100,0.085086961269,0.00551073623956,0.0742370696586,0.0960838110803,0.0739901859241,0.0961837366139
