sensitivity,outcome,family,estimand_id,scenario,reference_scenario,transition,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
stress_budget,mean_equity_loss,scenario_difference_average,0.1_minus_0.15_average_stressed,0.1,0.15,,,,100,-0.0258916499157,0.00148541507383,-0.028884669871,-0.0229876121217,-0.0288455294372,-0.0229377703943
stress_budget,mean_equity_loss,scenario_difference_average,0.3_minus_0.15_average_stressed,0.3,0.15,,,,100,0.0807862124939,0.00422707432248,0.0726152742323,0.0893027130272,0.072380300573,0.0891921244149
stress_budget,mean_equity_loss,scenario_difference_cell,0.1_minus_0.15_funding_0_market_1,0.1,0.15,,0,1,100,-0.0212775592605,0.00135434544119,-0.0240965504912,-0.018707159785,-0.0246953801975,-0.0178597383235
stress_budget,mean_equity_loss,scenario_difference_cell,0.1_minus_0.15_funding_0_market_2,0.1,0.15,,0,2,100,-0.042616540248,0.00264708190792,-0.0480533478097,-0.0375813540332,-0.0492967059514,-0.0359363745446
stress_budget,mean_equity_loss,scenario_difference_cell,0.1_minus_0.15_funding_1_market_0,0.1,0.15,,1,0,100,-0.000619799706507,1.42050856398e-05,-0.000647543275657,-0.000591135192628,-0.000655647605894,-0.000583951807119
stress_budget,mean_equity_loss,scenario_difference_cell,0.1_minus_0.15_funding_1_market_1,0.1,0.15,,1,1,100,-0.0218756459425,0.00135246928208,-0.0246876690249,-0.0193217290514,-0.0252887322116,-0.0184625596734
stress_budget,mean_equity_loss,scenario_difference_cell,0.1_minus_0.15_funding_1_market_2,0.1,0.15,,1,2,100,-0.0431922706187,0.00264343609794,-0.0486204534387,-0.0381614349876,-0.0498632357701,-0.0365213054673
stress_budget,mean_equity_loss,scenario_difference_cell,0.1_minus_0.15_funding_2_market_0,0.1,0.15,,2,0,100,-0.0048479857815,3.2769386167e-05,-0.00491127233682,-0.00478407676852,-0.00493068247817,-0.00476528908483
stress_budget,mean_equity_loss,scenario_difference_cell,0.1_minus_0.15_funding_2_market_1,0.1,0.15,,2,1,100,-0.0258325668978,0.00133427758889,-0.0285825479256,-0.0233072139462,-0.0291997446801,-0.0224653891156
stress_budget,mean_equity_loss,scenario_difference_cell,0.1_minus_0.15_funding_2_market_2,0.1,0.15,,2,2,100,-0.0468708308704,0.00260592671761,-0.0522283424908,-0.0419412118524,-0.0534471374942,-0.0402945242467
stress_budget,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_0_market_1,0.3,0.15,,0,1,100,0.0639061928737,0.00398905875967,0.0563155153705,0.0721242206236,0.0538394195579,0.0739729661894
stress_budget,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_0_market_2,0.3,0.15,,0,2,100,0.128166155206,0.00764056977879,0.113560663468,0.143592643791,0.108884442752,0.14744786766
stress_budget,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_1_market_0,0.3,0.15,,1,0,100,0.0062224711717,4.86656337607e-05,0.00612896688147,0.00631863688389,0.00609965876586,0.00634528357755
stress_budget,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_1_market_1,0.3,0.15,,1,1,100,0.0694447745008,0.00394047782384,0.0619852636341,0.0775902634607,0.0595005998475,0.0793889491541
stress_budget,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_1_market_2,0.3,0.15,,1,2,100,0.132984282605,0.00754243890289,0.118482405873,0.148254939833,0.113950212851,0.152018352359
stress_budget,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_2_market_0,0.3,0.15,,2,0,100,0.02159862209,4.64635859032e-05,0.021504918103,0.0216891975113,0.0214813667636,0.0217158774163
stress_budget,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_2_market_1,0.3,0.15,,2,1,100,0.0817963528539,0.00374211315851,0.074744307647,0.0894282551076,0.0723527705057,0.091239935202
stress_budget,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_2_market_2,0.3,0.15,,2,2,100,0.14217084865,0.00714678782719,0.128559718094,0.156462626774,0.124135242427,0.160206454874
stress_budget,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_0_to_1,0.1,,0_to_1,,,100,-0.0424231873422,0.0028161622243,-0.047915467688,-0.0370374231076,-0.0480068888996,-0.0368394857847
stress_budget,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_1_to_2,0.1,,1_to_2,,,100,-0.0406089057518,0.00276937882223,-0.0459940967528,-0.0352970960995,-0.0460998482513,-0.0351179632523
stress_budget,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_0_to_1,0.15,,0_to_1,,,100,-0.0629979772934,0.00419965413155,-0.0711808812756,-0.054956395729,-0.0713247757685,-0.0546711788182
stress_budget,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_1_to_2,0.15,,1_to_2,,,100,-0.0578856398699,0.00410779149287,-0.0659213489318,-0.0499565716165,-0.0660302991365,-0.0497409806033
stress_budget,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_0_to_1,0.3,,0_to_1,,,100,-0.11991365955,0.0082406546559,-0.135959667631,-0.104156486696,-0.136252688544,-0.103574630555
stress_budget,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_1_to_2,0.3,,1_to_2,,,100,-0.108305530175,0.00796902732261,-0.124107210721,-0.0928079023341,-0.124105994328,-0.0925050660228
stress_budget,mean_equity_loss,sensitivity_channel_local,funding_0_to_1,0.1,,0_to_1,,,100,7.75865725281e-05,3.9065012168e-06,6.9984759951e-05,8.54597439134e-05,6.77051640777e-05,8.74679809786e-05
stress_budget,mean_equity_loss,sensitivity_channel_local,market_0_to_1,0.1,,0_to_1,,,100,0.0425007739147,0.0027297911194,0.0372064069049,0.0477536760966,0.0355958276371,0.0494057201923
stress_budget,mean_equity_loss,sensitivity_channel_local,funding_1_to_2,0.1,,1_to_2,,,100,0.00193899314554,2.96899864192e-05,0.00188126775456,0.00199851099936,0.00186389298137,0.0020140933097
stress_budget,mean_equity_loss,sensitivity_channel_local,market_1_to_2,0.1,,1_to_2,,,100,0.0425478988973,0.00267893331568,0.0373466020598,0.047702530609,0.0357715963097,0.0493242014849
stress_budget,mean_equity_loss,sensitivity_channel_local,funding_0_to_1,0.15,,0_to_1,,,100,0.000675458825605,1.59117733156e-05,0.000645320890411,0.000707889990663,0.000635210346831,0.000715707304378
stress_budget,mean_equity_loss,sensitivity_channel_local,market_0_to_1,0.15,,0_to_1,,,100,0.063673436119,0.00406881873294,0.0557864498251,0.0715117389034,0.0533814491004,0.0739654231375
stress_budget,mean_equity_loss,sensitivity_channel_local,funding_1_to_2,0.15,,1_to_2,,,100,0.00589354890622,5.24553066012e-05,0.0057947396763,0.00599323828387,0.00576086436802,0.00602623344441
