sensitivity,outcome,scenario,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
cash_buffer,mean_equity_loss,high,0,0,100,-1.37667655053e-18,6.03851192191e-19,-2.50965914717e-18,-1.32671651441e-19,-2.92536285889e-18,1.72009757824e-19
cash_buffer,mean_equity_loss,high,0,1,100,0.0656382362607,0.00375849734336,0.0582108792562,0.0731486173888,0.0559988856211,0.0752775869003
cash_buffer,mean_equity_loss,high,0,2,100,0.131377320096,0.00741423235208,0.116712676041,0.146207403938,0.112362171531,0.150392468661
cash_buffer,mean_equity_loss,high,1,0,100,3.17523785043e-18,3.22142086567e-18,-3.13110648519e-18,9.51710932285e-18,-5.08668239191e-18,1.14371580928e-17
cash_buffer,mean_equity_loss,high,1,1,100,0.0656382362607,0.00375849734336,0.0582108792562,0.0731486173888,0.0559988856211,0.0752775869003
cash_buffer,mean_equity_loss,high,1,2,100,0.131377320096,0.00741423235208,0.116712676041,0.146207403938,0.112362171531,0.150392468661
cash_buffer,mean_equity_loss,high,2,0,100,0.000764935225615,1.63295398326e-05,0.000731901049391,0.000797684285111,0.00072305514806,0.00080681530317
cash_buffer,mean_equity_loss,high,2,1,100,0.0663887491153,0.00375712580055,0.0589720588157,0.073904040099,0.0567529160469,0.0760245821837
cash_buffer,mean_equity_loss,high,2,2,100,0.132112937785,0.00741196942217,0.117474250639,0.146950533452,0.113103592916,0.151122282654
cash_buffer,mean_equity_loss,low,0,0,100,-4.66293670343e-19,4.16327733886e-19,-1.26565424807e-18,3.99680288865e-19,-1.53404193283e-18,6.01454592138e-19
cash_buffer,mean_equity_loss,low,0,1,100,0.0699189907994,0.00400361673532,0.0620072409468,0.0779191793924,0.0596509868572,0.0801869947416
cash_buffer,mean_equity_loss,low,0,2,100,0.139945406189,0.00789776924461,0.124324372305,0.155742669412,0.119690139239,0.160200673139
cash_buffer,mean_equity_loss,low,1,0,100,0.00467393956492,1.97305644786e-05,0.00463709337944,0.00471314767259,0.00462333694053,0.00472454218931
cash_buffer,mean_equity_loss,low,1,1,100,0.07434300366,0.00398620877691,0.0664747038913,0.0823118372652,0.0641196455961,0.0845663617238
