sensitivity,outcome,family,estimand_id,scenario,reference_scenario,transition,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
cash_buffer,mean_equity_loss,scenario_difference_average,low_minus_reference_average_stressed,low,reference,,,,100,0.00904094251208,0.000152478271558,0.00876975762287,0.00934664307447,0.00873763124716,0.009344253777
cash_buffer,mean_equity_loss,scenario_difference_average,high_minus_reference_average_stressed,high,reference,,,,100,-0.00261401424392,8.78717066332e-05,-0.00278880553603,-0.00245489308902,-0.00278880949978,-0.00243921898806
cash_buffer,mean_equity_loss,scenario_difference_cell,low_minus_reference_funding_0_market_1,low,reference,,0,1,100,0.00285383635917,0.00016043653976,0.00253943006336,0.00317108684851,0.00243012887057,0.00327754384777
cash_buffer,mean_equity_loss,scenario_difference_cell,low_minus_reference_funding_0_market_2,low,reference,,0,2,100,0.00571205739552,0.000316472835414,0.00509106107467,0.00633871292012,0.00487626331455,0.00654785147649
cash_buffer,mean_equity_loss,scenario_difference_cell,low_minus_reference_funding_1_market_0,low,reference,,1,0,100,0.00467389997697,1.9186499511e-05,0.00463492886345,0.00470986263008,0.00462322907909,0.00472457087485
cash_buffer,mean_equity_loss,scenario_difference_cell,low_minus_reference_funding_1_market_1,low,reference,,1,1,100,0.00727780963179,0.000146145445503,0.00699037358447,0.0075651467842,0.00689184444096,0.00766377482262
cash_buffer,mean_equity_loss,scenario_difference_cell,low_minus_reference_funding_1_market_2,low,reference,,1,2,100,0.00987951152803,0.000288000856312,0.00931246939744,0.0104542499639,0.00911891098326,0.0106401120728
cash_buffer,mean_equity_loss,scenario_difference_cell,low_minus_reference_funding_2_market_0,low,reference,,2,0,100,0.0123790285709,1.73765465061e-05,0.0123443446846,0.0124125609577,0.0123331376978,0.012424919444
cash_buffer,mean_equity_loss,scenario_difference_cell,low_minus_reference_funding_2_market_1,low,reference,,2,1,100,0.0139834992916,0.000111415016972,0.0137713531021,0.0142091253169,0.0136892559908,0.0142777425924
cash_buffer,mean_equity_loss,scenario_difference_cell,low_minus_reference_funding_2_market_2,low,reference,,2,2,100,0.0155678973427,0.000217300424074,0.0151465258756,0.0160059561404,0.0149940142541,0.0161417804312
cash_buffer,mean_equity_loss,scenario_difference_cell,high_minus_reference_funding_0_market_1,high,reference,,0,1,100,-0.00142691817957,8.0218269877e-05,-0.00158554342428,-0.00126971503168,-0.00163877192386,-0.00121506443528
cash_buffer,mean_equity_loss,scenario_difference_cell,high_minus_reference_funding_0_market_2,high,reference,,0,2,100,-0.00285602869771,0.000158236417703,-0.00316935646001,-0.00254553053724,-0.00327392573819,-0.00243813165724
cash_buffer,mean_equity_loss,scenario_difference_cell,high_minus_reference_funding_1_market_0,high,reference,,1,0,100,-3.95879491684e-08,2.26227538697e-08,-8.89061980304e-08,-1.39666056498e-18,-9.93338788779e-08,2.01579805411e-08
cash_buffer,mean_equity_loss,scenario_difference_cell,high_minus_reference_funding_1_market_1,high,reference,,1,1,100,-0.00142695776752,8.02173576887e-05,-0.00158558236215,-0.00126975387319,-0.00163880910275,-0.00121510643229
cash_buffer,mean_equity_loss,scenario_difference_cell,high_minus_reference_funding_1_market_2,high,reference,,1,2,100,-0.00285606828566,0.000158235501606,-0.00316938654425,-0.00254556950279,-0.00327396290676,-0.00243817366457
cash_buffer,mean_equity_loss,scenario_difference_cell,high_minus_reference_funding_2_market_0,high,reference,,2,0,100,-0.00278719761597,2.37067856314e-05,-0.00283293940169,-0.002739273402,-0.00284980643699,-0.00272458879495
cash_buffer,mean_equity_loss,scenario_difference_cell,high_minus_reference_funding_2_market_1,high,reference,,2,1,100,-0.00411560907873,7.55927647523e-05,-0.00426557115918,-0.00396598945071,-0.00431524702004,-0.00391597113741
