sensitivity,outcome,family,estimand_id,scenario,reference_scenario,transition,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
high_impact,mean_equity_loss,scenario_difference_average,0.3_minus_0.15_average_stressed,0.3,0.15,,,,100,0.00283328188382,2.26963932225e-05,0.00278961409565,0.00287597884627,0.00278977361151,0.00287679015613
high_impact,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_0_market_1,0.3,0.15,,0,1,100,0,0,0,0,0,0
high_impact,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_0_market_2,0.3,0.15,,0,2,100,0,0,0,0,0,0
high_impact,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_1_market_0,0.3,0.15,,1,0,100,0.000712610692404,1.44021764243e-05,0.000685459486605,0.000741212331717,0.000680596429064,0.000744624955743
high_impact,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_1_market_1,0.3,0.15,,1,1,100,0.000708894586219,1.42907073377e-05,0.000682365501088,0.000737446207851,0.000677128104921,0.000740661067516
high_impact,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_1_market_2,0.3,0.15,,1,2,100,0.00070507225514,1.41861398964e-05,0.000678710765354,0.000733490596664,0.000673538214378,0.000736606295901
high_impact,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_2_market_0,0.3,0.15,,2,0,100,0.0069047855512,4.96127148699e-05,0.0068087696277,0.00699994756585,0.00679450260006,0.00701506850233
high_impact,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_2_market_1,0.3,0.15,,2,1,100,0.00684699921166,4.89376512474e-05,0.00675306291011,0.00694308400555,0.00673821684377,0.00695578157955
high_impact,mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_2_market_2,0.3,0.15,,2,2,100,0.00678789277392,4.86777910349e-05,0.00669311896788,0.00688242599976,0.00667968804325,0.00689609750459
high_impact,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_0_to_1,0.15,,0_to_1,,,100,-0.081104303464,0.00424588766723,-0.0892009065648,-0.0723404020311,-0.0896485670853,-0.0725600398428
high_impact,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_1_to_2,0.15,,1_to_2,,,100,-0.0755726890557,0.00406315998884,-0.0832617548043,-0.0670703898947,-0.0837492384138,-0.0673961396977
high_impact,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_0_to_1,0.3,,0_to_1,,,100,-0.0803749434709,0.00424429102246,-0.088454082072,-0.0715916170669,-0.0889159940646,-0.0718338928771
high_impact,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_1_to_2,0.3,,1_to_2,,,100,-0.0694140127985,0.00406534353231,-0.0770911320989,-0.0608635708106,-0.0775949562368,-0.0612330693602
high_impact,mean_equity_loss,sensitivity_channel_local,funding_0_to_1,0.15,,0_to_1,,,100,0.000683817171807,1.38436178266e-05,0.000657221349065,0.000710754989897,0.000650830124246,0.000716804219367
high_impact,mean_equity_loss,sensitivity_channel_local,market_0_to_1,0.15,,0_to_1,,,100,0.0817881206358,0.00429360144873,0.073605545975,0.0902466900905,0.0715571797814,0.0920190614903
high_impact,mean_equity_loss,sensitivity_channel_local,funding_1_to_2,0.15,,1_to_2,,,100,0.00577269178211,4.86562079523e-05,0.00567468414103,0.00587216923397,0.0056567521003,0.00588863146391
high_impact,mean_equity_loss,sensitivity_channel_local,market_1_to_2,0.15,,1_to_2,,,100,0.0813453808379,0.0040831910267,0.0735215239408,0.0893724348484,0.0716158131566,0.0910749485191
high_impact,mean_equity_loss,sensitivity_channel_local,funding_0_to_1,0.3,,0_to_1,,,100,0.00139267634973,2.80079452905e-05,0.00133885855507,0.0014470541488,0.00132593805668,0.00145941464278
high_impact,mean_equity_loss,sensitivity_channel_local,market_0_to_1,0.3,,0_to_1,,,100,0.0817676198206,0.00429254677958,0.0735857848784,0.0902217083299,0.0715391920679,0.0919960475733
high_impact,mean_equity_loss,sensitivity_channel_local,funding_1_to_2,0.3,,1_to_2,,,100,0.0119103917831,8.49001993122e-05,0.0117460587036,0.0120810165848,0.0117080886751,0.0121126948911
high_impact,mean_equity_loss,sensitivity_channel_local,market_1_to_2,0.3,,1_to_2,,,100,0.0813244045816,0.00408213105641,0.0735011293226,0.0893480150826,0.0715973626339,0.0910514465293
high_impact,worst_10pct_mean_equity_loss,scenario_difference_average,0.3_minus_0.15_average_stressed,0.3,0.15,,,,100,0.00354680903244,2.9519212872e-05,0.00348768651574,0.00360433079283,0.0034884795342,0.00360513853069
high_impact,worst_10pct_mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_0_market_1,0.3,0.15,,0,1,100,0,0,0,0,0,0
high_impact,worst_10pct_mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_0_market_2,0.3,0.15,,0,2,100,0,0,0,0,0,0
high_impact,worst_10pct_mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_1_market_0,0.3,0.15,,1,0,100,0.000889549597314,1.82343159637e-05,0.000854870811031,0.000926559482554,0.000848923338814,0.000930175855814
high_impact,worst_10pct_mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_1_market_1,0.3,0.15,,1,1,100,0.000884930931139,1.80881670839e-05,0.00085050665113,0.00092168604163,0.000844630293966,0.000925231568311
high_impact,worst_10pct_mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_1_market_2,0.3,0.15,,1,2,100,0.000880184251416,1.79504478108e-05,0.000845744691139,0.00091634483095,0.000840190454313,0.000920178048518
high_impact,worst_10pct_mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_2_market_0,0.3,0.15,,2,0,100,0.00864615485362,6.44319711371e-05,0.00852622595807,0.00877462625543,0.00850259970626,0.00878971000097
high_impact,worst_10pct_mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_2_market_1,0.3,0.15,,2,1,100,0.00857325971509,6.37987629298e-05,0.00845462296904,0.00869779860226,0.00843111536265,0.00871540406752
high_impact,worst_10pct_mean_equity_loss,scenario_difference_cell,0.3_minus_0.15_funding_2_market_2,0.3,0.15,,2,2,100,0.00850039291098,6.36435199123e-05,0.00838431337139,0.00862687482229,0.00835859444171,0.00864219138025
high_impact,worst_10pct_mean_equity_loss,sensitivity_channel_difference,funding_minus_market_0_to_1,0.15,,0_to_1,,,100,-0.101100190832,0.00521926847241,-0.111001094639,-0.091216146555,-0.111061208059,-0.0911391736041
high_impact,worst_10pct_mean_equity_loss,sensitivity_channel_difference,funding_minus_market_1_to_2,0.15,,1_to_2,,,100,-0.0940301754788,0.0049872972012,-0.103449541125,-0.0845105289167,-0.103548473609,-0.084511877349
high_impact,worst_10pct_mean_equity_loss,sensitivity_channel_difference,funding_minus_market_0_to_1,0.3,,0_to_1,,,100,-0.100189464637,0.00521814970379,-0.110059570442,-0.0903292711751,-0.110148346685,-0.0902305825885
high_impact,worst_10pct_mean_equity_loss,sensitivity_channel_difference,funding_minus_market_1_to_2,0.3,,1_to_2,,,100,-0.0863159234175,0.00499368698747,-0.0957063765161,-0.0768002804585,-0.0958464165075,-0.0767854303276
high_impact,worst_10pct_mean_equity_loss,sensitivity_channel_local,funding_0_to_1,0.15,,0_to_1,,,100,0.000874603157001,1.79471561692e-05,0.000839745796201,0.000910187282739,0.000830801666298,0.000918404647705
high_impact,worst_10pct_mean_equity_loss,sensitivity_channel_local,market_0_to_1,0.15,,0_to_1,,,100,0.101974793989,0.0053711070106,0.0916231231355,0.112807021857,0.0888661715654,0.115083416412
high_impact,worst_10pct_mean_equity_loss,sensitivity_channel_local,funding_1_to_2,0.15,,1_to_2,,,100,0.00739687134927,5.76481484447e-05,0.00728262801079,0.00750911903062,0.00725617636593,0.0075375663326
high_impact,worst_10pct_mean_equity_loss,sensitivity_channel_local,market_1_to_2,0.15,,1_to_2,,,100,0.101427046828,0.00511081520646,0.0914676342857,0.111752674029,0.0889536876706,0.113900405985
high_impact,worst_10pct_mean_equity_loss,sensitivity_channel_local,funding_0_to_1,0.3,,0_to_1,,,100,0.00175949141696,3.5887081259e-05,0.00168803942142,0.00183030588508,0.00167190608359,0.00184707675033
high_impact,worst_10pct_mean_equity_loss,sensitivity_channel_local,market_0_to_1,0.3,,0_to_1,,,100,0.101948956054,0.00536989174911,0.0915999026882,0.112779175255,0.0888432995748,0.115054612533
high_impact,worst_10pct_mean_equity_loss,sensitivity_channel_local,funding_1_to_2,0.3,,1_to_2,,,100,0.0150852522492,0.000106721211592,0.0148678818486,0.0152917003577,0.0148247904739,0.0153457140245
high_impact,worst_10pct_mean_equity_loss,sensitivity_channel_local,market_1_to_2,0.3,,1_to_2,,,100,0.101401175667,0.00510958271337,0.0914443095383,0.111724815199,0.0889308245087,0.113871526825
high_impact,asset_price_loss,scenario_difference_average,0.3_minus_0.15_average_stressed,0.3,0.15,,,,100,0.00137091251863,1.15378006972e-05,0.00134852084624,0.0013939905844,0.0013481378349,0.00139368720236
high_impact,asset_price_loss,scenario_difference_cell,0.3_minus_0.15_funding_0_market_1,0.3,0.15,,0,1,100,0,0,0,0,0,0
