outcome,calibration_ratio,price_impact_lambda,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
mean_equity_loss,0.5,0,0,0,200,5.99520433298e-19,3.4626498387e-19,-5.55111512305e-20,1.31034072482e-18,-2.54422115869e-19,1.45346298246e-18
mean_equity_loss,0.5,0,0,1,200,0.0964315930776,0.00361974927067,0.0895961084699,0.103466182019,0.0875047362959,0.105358449859
mean_equity_loss,0.5,0,0,2,200,0.192900275328,0.00706808580478,0.179607335472,0.206728494714,0.175469291859,0.210331258797
mean_equity_loss,0.5,0,1,0,200,5.11812814352e-18,2.23720306853e-18,6.99301727634e-19,9.40400535221e-18,-3.9915769344e-19,1.06354139805e-17
mean_equity_loss,0.5,0,1,1,200,0.0964294884215,0.00361968730208,0.0895937623851,0.103463706832,0.0875027844638,0.105356192379
mean_equity_loss,0.5,0,1,2,200,0.192895976889,0.00706795912268,0.179603537906,0.206724615149,0.175465305837,0.210326647941
mean_equity_loss,0.5,0,2,0,200,3.65818486614e-18,2.84585727453e-18,-1.89903648362e-18,9.13311093421e-18,-3.36013557854e-18,1.06765053108e-17
mean_equity_loss,0.5,0,2,1,200,0.0963229992878,0.00361610606218,0.0894756932783,0.103345025482,0.0874051272168,0.105240871359
mean_equity_loss,0.5,0,2,2,200,0.192679109363,0.00706071048578,0.179392882723,0.206514743322,0.175266314561,0.210091904164
mean_equity_loss,0.5,0.15,0,0,200,5.99520433298e-19,3.4626498387e-19,-5.55111512305e-20,1.31034072482e-18,-2.54422115869e-19,1.45346298246e-18
mean_equity_loss,0.5,0.15,0,1,200,0.0964315930776,0.00361974927067,0.0895961084699,0.103466182019,0.0875047362959,0.105358449859
mean_equity_loss,0.5,0.15,0,2,200,0.192900275328,0.00706808580478,0.179607335472,0.206728494714,0.175469291859,0.210331258797
mean_equity_loss,0.5,0.15,1,0,200,7.69529153397e-05,2.43776340834e-06,7.2159129481e-05,8.15179196751e-05,7.09410169493e-05,8.29648137301e-05
mean_equity_loss,0.5,0.15,1,1,200,0.0965061256483,0.00361951777036,0.0896709810863,0.103538881362,0.0875798397818,0.105432411515
mean_equity_loss,0.5,0.15,1,2,200,0.19297228506,0.00706778002484,0.179676369389,0.206798377953,0.175542055691,0.210402514429
mean_equity_loss,0.5,0.15,2,0,200,0.00200055581332,1.97959245587e-05,0.00196298893527,0.0020376965134,0.0019517360277,0.00204937559894
mean_equity_loss,0.5,0.15,2,1,200,0.0983072687248,0.00361497246676,0.0914660295647,0.105330045191,0.089392192274,0.107222345176
mean_equity_loss,0.5,0.15,2,2,200,0.194646496022,0.00705897922416,0.181359153855,0.208479094772,0.177237970777,0.212055021267
mean_equity_loss,1,0,0,0,200,5.99520433298e-19,3.4626498387e-19,-5.55111512305e-20,1.31034072482e-18,-2.54422115869e-19,1.45346298246e-18
mean_equity_loss,1,0,0,1,200,0.0723202258646,0.00273062332373,0.0671742766236,0.0776479750599,0.0655860900134,0.0790543617158
mean_equity_loss,1,0,0,2,200,0.144661281427,0.0053657646066,0.134514666442,0.155095371907,0.131428483079,0.157894079774
mean_equity_loss,1,0,1,0,200,4.57966997658e-18,2.63808620579e-18,-6.05487882054e-19,9.95467597243e-18,-1.92625515137e-18,1.10855951045e-17
mean_equity_loss,1,0,1,1,200,0.0722981356585,0.0027298946603,0.0671496029674,0.0776230116089,0.0655657968031,0.0790304745139
mean_equity_loss,1,0,1,2,200,0.144616473135,0.0053642898316,0.134471825608,0.155052888417,0.131387311808,0.157845634461
mean_equity_loss,1,0,2,0,200,4.24105195407e-18,3.21052473809e-18,-2.13815076756e-18,1.05193631583e-17,-3.6765943767e-18,1.21586982848e-17
mean_equity_loss,1,0,2,1,200,0.0719816949212,0.00271914129671,0.0668190075806,0.0772739275629,0.0652758755094,0.078687514333
mean_equity_loss,1,0,2,2,200,0.143975685192,0.00534263683529,0.13384277035,0.154417215009,0.130799923475,0.157151446909
mean_equity_loss,1,0.15,0,0,200,5.99520433298e-19,3.4626498387e-19,-5.55111512305e-20,1.31034072482e-18,-2.54422115869e-19,1.45346298246e-18
mean_equity_loss,1,0.15,0,1,200,0.0723202258646,0.00273062332373,0.0671742766236,0.0776479750599,0.0655860900134,0.0790543617158
mean_equity_loss,1,0.15,0,2,200,0.144661281427,0.0053657646066,0.134514666442,0.155095371907,0.131428483079,0.157894079774
mean_equity_loss,1,0.15,1,0,200,0.000679096872162,9.63205089192e-06,0.000660899867774,0.000698150000251,0.000655342757609,0.000702850986714
mean_equity_loss,1,0.15,1,1,200,0.072973919307,0.00272931326131,0.0678261339833,0.0782865935008,0.0662430142706,0.0797048243433
mean_equity_loss,1,0.15,1,2,200,0.145288849407,0.00536358942944,0.135137731869,0.155722942491,0.13206141538,0.158516283434
mean_equity_loss,1,0.15,2,0,200,0.00678036961006,3.81405922394e-05,0.00670745515338,0.00685541124114,0.00668630906082,0.00687443015929
mean_equity_loss,1,0.15,2,1,200,0.0787113021489,0.00271534455339,0.073595927275,0.0839874014016,0.0720148460884,0.0854077582095
mean_equity_loss,1,0.15,2,2,200,0.150653251559,0.00533692776131,0.140527443897,0.161085304133,0.137491569294,0.163814933824
mean_equity_loss,2,0,0,0,200,5.99520433298e-19,3.4626498387e-19,-5.55111512305e-20,1.31034072482e-18,-2.54422115869e-19,1.45346298246e-18
mean_equity_loss,2,0,0,1,200,0.0482111723438,0.00183088970083,0.0447662185984,0.0517973076091,0.0436959175788,0.0527264271088
mean_equity_loss,2,0,0,2,200,0.0964315930776,0.00361974927067,0.0895961084699,0.103466182019,0.0875047362959,0.105358449859
mean_equity_loss,2,0,1,0,200,3.65818486614e-18,2.84585727453e-18,-1.89903648362e-18,9.13311093421e-18,-3.36013557854e-18,1.06765053108e-17
mean_equity_loss,2,0,1,1,200,0.0481573521287,0.00182907896186,0.0447086510642,0.0517372337791,0.0436465629237,0.0526681413338
mean_equity_loss,2,0,1,2,200,0.0963229992878,0.00361610606218,0.0894756932783,0.103345025482,0.0874051272168,0.105240871359
mean_equity_loss,2,0,2,0,200,4.41313652288e-18,3.75886039866e-18,-3.11417558408e-18,1.18026421969e-17,-4.85678963286e-18,1.36830626786e-17
mean_equity_loss,2,0,2,1,200,0.0476963625966,0.00181326470765,0.0442716733154,0.0512311179525,0.0432245737675,0.0521681514256
mean_equity_loss,2,0,2,2,200,0.0953939120187,0.00358435988289,0.0885611007991,0.102394990696,0.0865543308941,0.104233493143
mean_equity_loss,2,0.15,0,0,200,5.99520433298e-19,3.4626498387e-19,-5.55111512305e-20,1.31034072482e-18,-2.54422115869e-19,1.45346298246e-18
mean_equity_loss,2,0.15,0,1,200,0.0482111723438,0.00183088970083,0.0447662185984,0.0517973076091,0.0436959175788,0.0527264271088
mean_equity_loss,2,0.15,0,2,200,0.0964315930776,0.00361974927067,0.0895961084699,0.103466182019,0.0875047362959,0.105358449859
mean_equity_loss,2,0.15,1,0,200,0.00200055581332,1.97959245587e-05,0.00196298893527,0.0020376965134,0.0019517360277,0.00204937559894
mean_equity_loss,2,0.15,1,1,200,0.0501498362153,0.00182827900461,0.0467082592903,0.0537162893625,0.0456410198276,0.0546586526031
mean_equity_loss,2,0.15,1,2,200,0.0983072687248,0.00361497246676,0.0914660295647,0.105330045191,0.089392192274,0.107222345176
mean_equity_loss,2,0.15,2,0,200,0.0135082138177,4.91320305842e-05,0.0134134501741,0.013604801398,0.013387046696,0.0136293809394
mean_equity_loss,2,0.15,2,1,200,0.0611273919074,0.0018091137959,0.057727678524,0.0646663127027,0.0566658398633,0.0655889439516
mean_equity_loss,2,0.15,2,2,200,0.108746549941,0.00357719546867,0.10197692961,0.115726803579,0.099924637361,0.117568462522
worst_10pct_mean_equity_loss,0.5,0,0,0,200,3.56381590905e-17,2.52161230755e-18,3.07531777821e-17,4.07451850038e-17,2.93887830672e-17,4.18875351138e-17
worst_10pct_mean_equity_loss,0.5,0,0,1,200,0.120434439166,0.0046604423924,0.111412207971,0.129796227141,0.108884346053,0.131984532278
worst_10pct_mean_equity_loss,0.5,0,0,2,200,0.240911759288,0.00910294468142,0.223249269381,0.259080620981,0.218351699574,0.263471819002
worst_10pct_mean_equity_loss,0.5,0,1,0,200,5.98188165668e-16,5.20278587054e-18,5.88028237214e-16,6.08402217495e-16,5.85293968897e-16,6.11082362439e-16
worst_10pct_mean_equity_loss,0.5,0,1,1,200,0.120434334819,0.00466044062302,0.111412099703,0.129796210746,0.108884246092,0.131984423546
worst_10pct_mean_equity_loss,0.5,0,1,2,200,0.240911545584,0.00910294111841,0.223248771679,0.259080294338,0.2183514947,0.263471596467
worst_10pct_mean_equity_loss,0.5,0,2,0,200,6.90503210166e-16,6.9028266636e-18,6.76958489265e-16,7.0388417317e-16,6.73395758986e-16,7.07610661345e-16
worst_10pct_mean_equity_loss,0.5,0,2,1,200,0.120367633627,0.00465795485968,0.111353367961,0.129718333198,0.10882370543,0.131911561823
worst_10pct_mean_equity_loss,0.5,0,2,2,200,0.240775651316,0.0090978926261,0.223129397505,0.258907041829,0.21822811224,0.263323190392
worst_10pct_mean_equity_loss,0.5,0.15,0,0,200,3.56381590905e-17,2.52161230755e-18,3.07531777821e-17,4.07451850038e-17,2.93887830672e-17,4.18875351138e-17
worst_10pct_mean_equity_loss,0.5,0.15,0,1,200,0.120434439166,0.0046604423924,0.111412207971,0.129796227141,0.108884346053,0.131984532278
worst_10pct_mean_equity_loss,0.5,0.15,0,2,200,0.240911759288,0.00910294468142,0.223249269381,0.259080620981,0.218351699574,0.263471819002
worst_10pct_mean_equity_loss,0.5,0.15,1,0,200,9.61222834679e-05,3.04356832002e-06,9.00718279792e-05,0.000101897217839,8.85793305613e-05,0.000103665236374
worst_10pct_mean_equity_loss,0.5,0.15,1,1,200,0.120530062807,0.00466024075712,0.111509893925,0.129895067482,0.108980469413,0.132079656201
worst_10pct_mean_equity_loss,0.5,0.15,1,2,200,0.241006862614,0.00910272772514,0.223346472882,0.259178462055,0.218447340588,0.263566384639
worst_10pct_mean_equity_loss,0.5,0.15,2,0,200,0.00250212255563,2.61634604828e-05,0.00245298038767,0.0025541061884,0.00243728098496,0.00256696412629
worst_10pct_mean_equity_loss,0.5,0.15,2,1,200,0.12284936353,0.00465715882952,0.113890037942,0.132200509151,0.111307408156,0.134391318905
worst_10pct_mean_equity_loss,0.5,0.15,2,2,200,0.243236391442,0.00909625241981,0.22564276067,0.261388920038,0.220692917331,0.265779865554
worst_10pct_mean_equity_loss,1,0,0,0,200,3.56381590905e-17,2.52161230755e-18,3.07531777821e-17,4.07451850038e-17,2.93887830672e-17,4.18875351138e-17
worst_10pct_mean_equity_loss,1,0,0,1,200,0.0903218195354,0.00351542077571,0.0835342254695,0.0973883381973,0.0816094626668,0.0990341764039
worst_10pct_mean_equity_loss,1,0,0,2,200,0.180667718172,0.00690949381153,0.167285759216,0.194509946237,0.16354374363,0.197791692713
worst_10pct_mean_equity_loss,1,0,1,0,200,6.32882635188e-16,6.26179589417e-18,6.21003248824e-16,6.44984066156e-16,6.17363866895e-16,6.4840140348e-16
worst_10pct_mean_equity_loss,1,0,1,1,200,0.0903131825748,0.00351510701743,0.0835265875279,0.0973786765921,0.0816016033014,0.0990247618483
worst_10pct_mean_equity_loss,1,0,1,2,200,0.180650183981,0.00690885682848,0.167268475565,0.194485680576,0.16352778809,0.197772579871
worst_10pct_mean_equity_loss,1,0,2,0,200,8.15070233529e-16,8.30568751615e-18,7.99249555428e-16,8.31223978537e-16,7.94486036559e-16,8.35654430499e-16
