outcome,family,estimand_id,calibration_ratio,price_impact_lambda,transition,conditioning_intensity,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
mean_equity_loss,channel_interaction,interaction_funding_1_market_1,0.5,0,,,1,1,200,-2.1046560985e-06,2.24578730549e-07,-2.56839559991e-06,-1.69409411238e-06,-2.59777491308e-06,-1.61153728392e-06
mean_equity_loss,channel_interaction,interaction_funding_1_market_2,0.5,0,,,1,2,200,-4.29843862701e-06,4.58011642568e-07,-5.24517699537e-06,-3.46341948065e-06,-5.30411782777e-06,-3.29275942624e-06
mean_equity_loss,channel_interaction,interaction_funding_2_market_1,0.5,0,,,2,1,200,-0.000108593789864,7.49976136488e-06,-0.000123606782773,-9.44071943376e-05,-0.000125061393118,-9.21261866104e-05
mean_equity_loss,channel_interaction,interaction_funding_2_market_2,0.5,0,,,2,2,200,-0.000221165965283,1.52266670713e-05,-0.000251569547939,-0.000192401261556,-0.000254599924045,-0.00018773200652
mean_equity_loss,channel_interaction,interaction_funding_1_market_1,0.5,0.15,,,1,1,200,-2.42034464205e-06,2.58265319928e-07,-2.9536450921e-06,-1.94819876002e-06,-2.9874307953e-06,-1.85325848879e-06
mean_equity_loss,channel_interaction,interaction_funding_1_market_2,0.5,0.15,,,1,2,200,-4.94318333955e-06,5.26712903824e-07,-6.03193179329e-06,-3.9829121911e-06,-6.0997133552e-06,-3.78665332389e-06
mean_equity_loss,channel_interaction,interaction_funding_2_market_1,0.5,0.15,,,2,1,200,-0.000124880166166,8.6247103863e-06,-0.000142144905281,-0.000108565495224,-0.000143817876569,-0.000105942455763
mean_equity_loss,channel_interaction,interaction_funding_2_market_2,0.5,0.15,,,2,2,200,-0.000254335118968,1.75106328472e-05,-0.000289298793558,-0.000221255716518,-0.000292784096264,-0.000215886141671
mean_equity_loss,channel_interaction,interaction_funding_1_market_1,1,0,,,1,1,200,-2.20902061345e-05,1.72597062595e-06,-2.55776073297e-05,-1.8989690476e-05,-2.58800066512e-05,-1.83004056178e-05
mean_equity_loss,channel_interaction,interaction_funding_1_market_2,1,0,,,1,2,200,-4.4808292018e-05,3.49512978549e-06,-5.18668632411e-05,-3.85288951143e-05,-5.24827242869e-05,-3.71338597491e-05
