sensitivity,outcome,family,estimand_id,scenario,reference_scenario,transition,funding_intensity,market_intensity,blocks,estimate,block_se,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper
market_frequency,mean_equity_loss,scenario_difference_average,0.05_minus_0.1_average_stressed,0.05,0.1,,,,100,0.00283435949443,0.00452110452076,-0.00589885349178,0.0113727120151,-0.00706597220769,0.0127346911966
market_frequency,mean_equity_loss,scenario_difference_average,0.2_minus_0.1_average_stressed,0.2,0.1,,,,100,-0.00522757415029,0.0031712584151,-0.0114973731187,0.000999701929961,-0.0121720077679,0.00171685946731
market_frequency,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_0_to_1,0.05,,0_to_1,,,100,-0.0826154486612,0.00613617757387,-0.0947083197349,-0.0713763649655,-0.0965272314888,-0.0687036658336
market_frequency,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_1_to_2,0.05,,1_to_2,,,100,-0.0770423678775,0.00583296403182,-0.0884105781807,-0.066238154265,-0.0902667128178,-0.0638180229372
market_frequency,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_0_to_1,0.1,,0_to_1,,,100,-0.0800659957978,0.00440364073957,-0.0888955294588,-0.0714317811389,-0.0900498159989,-0.0700821755967
market_frequency,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_1_to_2,0.1,,1_to_2,,,100,-0.0745132563444,0.00421922409455,-0.0829271381417,-0.0661732647031,-0.0840789719056,-0.0649475407833
market_frequency,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_0_to_1,0.2,,0_to_1,,,100,-0.0753338313849,0.0028150712522,-0.0806726772817,-0.0695660638247,-0.0817160879987,-0.068951574771
market_frequency,mean_equity_loss,sensitivity_channel_difference,funding_minus_market_1_to_2,0.2,,1_to_2,,,100,-0.0700456289911,0.00272467591911,-0.0752138788596,-0.0644887696896,-0.0762229436476,-0.0638683143346
market_frequency,mean_equity_loss,sensitivity_channel_local,funding_0_to_1,0.05,,0_to_1,,,100,0.000645600416511,1.55691294942e-05,0.00061512268225,0.000675592235302,0.000605462714449,0.000685738118574
market_frequency,mean_equity_loss,sensitivity_channel_local,market_0_to_1,0.05,,0_to_1,,,100,0.0832610490777,0.00622001256419,0.0717497905062,0.0962698376132,0.0672256624352,0.0992964357202
market_frequency,mean_equity_loss,sensitivity_channel_local,funding_1_to_2,0.05,,1_to_2,,,100,0.00569348306396,7.06298747645e-05,0.00555520720904,0.00582983156479,0.00551139704103,0.00587556908688
market_frequency,mean_equity_loss,sensitivity_channel_local,market_1_to_2,0.05,,1_to_2,,,100,0.0827358509414,0.00587525301009,0.0718766739899,0.0949700006296,0.0675892651963,0.0978824366866
market_frequency,mean_equity_loss,sensitivity_channel_local,funding_0_to_1,0.1,,0_to_1,,,100,0.000648486420544,1.50839591036e-05,0.000619501387613,0.000678183110821,0.0006095995029,0.000687373338187
market_frequency,mean_equity_loss,sensitivity_channel_local,market_0_to_1,0.1,,0_to_1,,,100,0.0807144822184,0.00433002576946,0.0725158616187,0.0893782091585,0.0695515405573,0.0918774238794
market_frequency,mean_equity_loss,sensitivity_channel_local,funding_1_to_2,0.1,,1_to_2,,,100,0.00575743633049,5.80771417451e-05,0.00564713334237,0.0058737948349,0.00560771164531,0.00590716101567
market_frequency,mean_equity_loss,sensitivity_channel_local,market_1_to_2,0.1,,1_to_2,,,100,0.0802706926749,0.00412173561875,0.0725000712181,0.0884803091577,0.0696447295273,0.0908966558226
market_frequency,mean_equity_loss,sensitivity_channel_local,funding_0_to_1,0.2,,0_to_1,,,100,0.000646902208672,1.47684233273e-05,0.000618071779551,0.000675007409287,0.000608828752114,0.00068497566523
market_frequency,mean_equity_loss,sensitivity_channel_local,market_0_to_1,0.2,,0_to_1,,,100,0.0759807335935,0.00281320526571,0.0705816454526,0.0815866124062,0.0687282025617,0.0832332646254
market_frequency,mean_equity_loss,sensitivity_channel_local,funding_1_to_2,0.2,,1_to_2,,,100,0.00575236319937,5.10978580447e-05,0.00565442012361,0.00585436338355,0.00562063132553,0.0058840950732
market_frequency,mean_equity_loss,sensitivity_channel_local,market_1_to_2,0.2,,1_to_2,,,100,0.0757979921905,0.00270916772111,0.0705650935366,0.0811885186311,0.0688136731977,0.0827823111832
market_frequency,worst_10pct_mean_equity_loss,scenario_difference_average,0.05_minus_0.1_average_stressed,0.05,0.1,,,,100,0.00358753418301,0.00564703187948,-0.00745421115664,0.0144296504538,-0.00893213504296,0.016107203409
market_frequency,worst_10pct_mean_equity_loss,scenario_difference_average,0.2_minus_0.1_average_stressed,0.2,0.1,,,,100,-0.00651936641135,0.00400661102785,-0.0144831006753,0.00102438267758,-0.0154021646417,0.00236343181901
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_difference,funding_minus_market_0_to_1,0.05,,0_to_1,,,100,-0.103085636533,0.00769939657365,-0.118278515442,-0.0888232060589,-0.12072364702,-0.0854476260457
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_difference,funding_minus_market_1_to_2,0.05,,1_to_2,,,100,-0.0959362216506,0.00731663683498,-0.110323709658,-0.0822964156772,-0.112697394554,-0.0791750487468
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_difference,funding_minus_market_0_to_1,0.1,,0_to_1,,,100,-0.0998581962888,0.0054109350404,-0.110338643617,-0.0895083222602,-0.112253729897,-0.0874626626812
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_difference,funding_minus_market_1_to_2,0.1,,1_to_2,,,100,-0.0927564497257,0.00516716160339,-0.10283635455,-0.0828051541596,-0.104593539773,-0.0809193596788
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_difference,funding_minus_market_0_to_1,0.2,,0_to_1,,,100,-0.0939566871207,0.0034923094947,-0.100772052215,-0.0871473316474,-0.101956975312,-0.0859563989289
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_difference,funding_minus_market_1_to_2,0.2,,1_to_2,,,100,-0.087198751924,0.00337761800675,-0.0937396628099,-0.0805226436667,-0.094936301387,-0.0794612024609
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_local,funding_0_to_1,0.05,,0_to_1,,,100,0.000826155339644,1.88981045182e-05,0.000788991444844,0.000862157866395,0.000777171542247,0.000875139137041
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_local,market_0_to_1,0.05,,0_to_1,,,100,0.103911791872,0.0077314815223,0.0892758581278,0.119609315964,0.083871828388,0.123951755357
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_local,funding_1_to_2,0.05,,1_to_2,,,100,0.00731980207706,8.37415315391e-05,0.00714815495527,0.00748636883979,0.00710274442397,0.00753685973016
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_local,market_1_to_2,0.05,,1_to_2,,,100,0.103256023728,0.0073125483923,0.0891674207877,0.117936428931,0.0843019329318,0.122210114523
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_local,funding_0_to_1,0.1,,0_to_1,,,100,0.000829046962578,1.86560495531e-05,0.000792532231865,0.000864422401409,0.000780690570504,0.000877403354652
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_local,market_0_to_1,0.1,,0_to_1,,,100,0.100687243251,0.00548159830316,0.0901280238343,0.111229060093,0.0864789664141,0.114895520089
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_local,funding_1_to_2,0.1,,1_to_2,,,100,0.00738191342272,7.17557565897e-05,0.00724095342298,0.00752581516154,0.00719592284152,0.00756790400392
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_local,market_1_to_2,0.1,,1_to_2,,,100,0.100138363148,0.00522327863245,0.0900884550327,0.11022355188,0.0865996496739,0.113677076623
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_local,funding_0_to_1,0.2,,0_to_1,,,100,0.000826654338355,1.86083669246e-05,0.000790075699968,0.000862066357502,0.000778421539428,0.000874887137282
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_local,market_0_to_1,0.2,,0_to_1,,,100,0.094783341459,0.00355686094912,0.0879653828612,0.101634417726,0.0855639747265,0.104002708192
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_local,funding_1_to_2,0.2,,1_to_2,,,100,0.00736243771223,6.7448407792e-05,0.00723033093235,0.0074955258205,0.00718761175871,0.00753726366575
market_frequency,worst_10pct_mean_equity_loss,sensitivity_channel_local,market_1_to_2,0.2,,1_to_2,,,100,0.0945611896362,0.00342348902208,0.0879431041727,0.101144589764,0.0856875223069,0.103434856966
