calibration_ratio,term,coefficient,standard_error_clustered,ci_low,ci_high,p_value
0.5,Intercept,-30.6796652092,2.16165131461,-34.916423933,-26.4429064854,1.01669952052e-45
0.5,"bs(day, df=5, include_intercept=False)[0]",10.9620780168,1.40912596869,8.2002418685,13.7239141651,7.29006122051e-15
0.5,"bs(day, df=5, include_intercept=False)[1]",16.8552760487,1.71893107671,13.4862330464,20.2243190509,1.06435108213e-22
0.5,"bs(day, df=5, include_intercept=False)[2]",20.8174688214,2.08386173021,16.7331748814,24.9017627614,1.68834818098e-23
0.5,"bs(day, df=5, include_intercept=False)[3]",22.5327997039,2.13571792817,18.3468694836,26.7187299243,5.05507326523e-26
0.5,"bs(day, df=5, include_intercept=False)[4]",23.0965203638,2.17219457618,18.8390972271,27.3539435005,2.0970954002e-26
0.5,liquidity_intensity,2.79366407783,0.415052357248,1.98017640593,3.60715174974,1.68649874453e-11
0.5,market_intensity,10.5534600287,0.835986942608,8.91495572968,12.1919643278,1.55799460515e-36
0.5,liquidity_intensity:market_intensity,-1.14087384484,0.0849677684635,-1.30740761087,-0.974340078804,4.1931300812e-41
0.5,liquidity_intensity:log_day,0.104906657607,0.104188935838,-0.0992999042226,0.309113219436,0.31398828384
0.5,market_intensity:log_day,-2.47954041686,0.245740096127,-2.96118215483,-1.99789867889,6.11116102933e-24
1,Intercept,-34.8669989895,1.81976429197,-38.4336714621,-31.3003265169,7.96079262523e-82
1,"bs(day, df=5, include_intercept=False)[0]",10.2324921697,1.09399394945,8.0883034295,12.37668091,8.49265362552e-21
1,"bs(day, df=5, include_intercept=False)[1]",20.8276318719,1.47327646165,17.9400630678,23.715200676,2.24827294956e-45
1,"bs(day, df=5, include_intercept=False)[2]",24.9898893365,1.73004661729,21.599060275,28.380718398,2.7099490175e-47
1,"bs(day, df=5, include_intercept=False)[3]",26.9283969313,1.82338069359,23.3546364418,30.5021574209,2.34242374633e-49
1,"bs(day, df=5, include_intercept=False)[4]",27.8364468077,1.83053905778,24.2486561822,31.4242374333,3.19265243299e-52
1,liquidity_intensity,7.37768686202,0.684947893716,6.03521365905,8.72016006499,4.71002587285e-27
1,market_intensity,8.32724434937,0.555122919458,7.23922342024,9.4152652785,7.26254741822e-51
1,liquidity_intensity:market_intensity,-1.28543311247,0.0623219794142,-1.40758194756,-1.16328427737,1.61450155173e-94
1,liquidity_intensity:log_day,-1.12487410752,0.202209296798,-1.52119704658,-0.728551168454,2.65297785178e-08
1,market_intensity:log_day,-1.83950338297,0.161633716767,-2.15629964652,-1.52270711942,5.21846084693e-30
2,Intercept,-152.898487611,14.8987160851,-182.099434554,-123.697540669,1.03949406075e-24
2,"bs(day, df=5, include_intercept=False)[0]",128.716696669,14.9248682722,99.4644923818,157.968900957,6.44800103209e-18
2,"bs(day, df=5, include_intercept=False)[1]",139.482035511,14.8058216883,110.46315824,168.500912781,4.47851124831e-21
2,"bs(day, df=5, include_intercept=False)[2]",145.473608586,14.928648484,116.213995219,174.733221952,1.94556259635e-22
2,"bs(day, df=5, include_intercept=False)[3]",147.649201902,14.8917221791,118.461962763,176.836441041,3.58792513191e-23
2,"bs(day, df=5, include_intercept=False)[4]",148.291595961,14.9121397547,119.06433911,177.518852813,2.66900179851e-23
2,liquidity_intensity,12.7739568791,0.630698999687,11.5378095547,14.0101042036,3.29867912759e-91
2,market_intensity,2.6523576016,0.402534962174,1.86340357322,3.44131162998,4.42393481101e-11
2,liquidity_intensity:market_intensity,-0.613409026011,0.0552234037005,-0.721644908367,-0.505173143654,1.14991736549e-28
2,liquidity_intensity:log_day,-3.19428346116,0.217260506456,-3.62010622908,-2.76846069325,6.20772878733e-49
2,market_intensity:log_day,-0.437981140373,0.108532711484,-0.650701346026,-0.225260934719,5.4491735599e-05
