calibration_ratio,liquidity_intensity,market_intensity,day,mean_survival,sd_survival,runs
0.5,0,0,1,1,0,200
0.5,0,0,2,1,0,200
0.5,0,0,3,1,0,200
0.5,0,0,4,1,0,200
0.5,0,0,5,1,0,200
0.5,0,0,6,1,0,200
0.5,0,0,7,1,0,200
0.5,0,0,8,1,0,200
0.5,0,0,9,1,0,200
0.5,0,0,10,1,0,200
0.5,0,0,11,1,0,200
0.5,0,0,12,1,0,200
0.5,0,0,13,1,0,200
0.5,0,0,14,1,0,200
0.5,0,0,15,1,0,200
0.5,0,0,16,1,0,200
0.5,0,0,17,1,0,200
0.5,0,0,18,1,0,200
0.5,0,0,19,1,0,200
0.5,0,0,20,1,0,200
0.5,0,0,21,1,0,200
0.5,0,0,22,1,0,200
0.5,0,0,23,1,0,200
0.5,0,0,24,1,0,200
0.5,0,0,25,1,0,200
0.5,0,0,26,1,0,200
0.5,0,0,27,1,0,200
0.5,0,0,28,1,0,200
0.5,0,0,29,1,0,200
0.5,0,0,30,1,0,200
0.5,0,1,1,1,0,200
0.5,0,1,2,1,0,200
0.5,0,1,3,1,0,200
0.5,0,1,4,1,0,200
0.5,0,1,5,1,0,200
0.5,0,1,6,1,0,200
0.5,0,1,7,1,0,200
0.5,0,1,8,1,0,200
0.5,0,1,9,1,0,200
0.5,0,1,10,1,0,200
0.5,0,1,11,1,0,200
0.5,0,1,12,0.99995,0.000707106781187,200
0.5,0,1,13,0.99995,0.000707106781187,200
0.5,0,1,14,0.99995,0.000707106781187,200
0.5,0,1,15,0.99995,0.000707106781187,200
0.5,0,1,16,0.9989,0.0113770464502,200
0.5,0,1,17,0.9989,0.0113770464502,200
0.5,0,1,18,0.9989,0.0113770464502,200
0.5,0,1,19,0.9979,0.0214684529569,200
0.5,0,1,20,0.99775,0.0214882812518,200
0.5,0,1,21,0.9977,0.0214946528351,200
0.5,0,1,22,0.9977,0.0214946528351,200
0.5,0,1,23,0.9967,0.0242911568582,200
